Sex,Age,PVD1,PVD2,PVD3rc,PVD4,PVD5rc,PVD6,PVD7,PVD8,PVD9,PVD10,PVD11rc,PVD12rc,PVD13rc,PVD14rc,PVD15,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6rc,SOIR7,SOIR8,SOIR9,GenHealth,INF_PREV_COMM,INF_PREV_FAM,INF_PREV_JOB,TDDS1,TDDS2,TDDS3,TDDS4,TDDS5,TDDS6,TDDS7,TDDS8,TDDS9,TDDS10,TDDS11,TDDS12,TDDS13,TDDS14,TDDS15,TDDS16,TDDS17,TDDS18,TDDS19,TDDS20,TDDS21
1,26,2,1,1,2,6,2,5,2,1,1,6,2,6,2,2,6,3,7,8,7,7,7,5,6,5,10,1,1,3,4,7,5,1,3,1,1,3,7,5,7,3,2,5,7,4,6,3,5,7
1,26,4,4,3,4,3,3,2,2,3,2,5,6,4,3,4,1,1,1,8,8,8,7,5,5,2,18,12,26,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,26,4,3,3,4,4,3,5,4,3,4,3,3,4,5,4,4,3,4,7,6,6,4,6,5,2,40,30,40,3,2,6,3,1,3,1,1,1,1,3,4,4,3,5,4,3,4,4,4,3
1,26,5,4,3,5,4,5,4,5,4,5,3,5,4,3,4,1,1,1,1,2,7,6,5,6,3,54,35,43,5,3,4,6,3,4,4,2,6,4,5,5,6,5,5,4,5,4,5,5,4
1,26,7,3,3,1,4,1,1,1,3,1,4,5,5,3,1,2,2,2,9,6,5,6,4,5,3,10,0,0,5,4,3,4,3,4,3,4,4,3,4,5,4,4,4,5,4,3,4,5,4
1,26,4,5,5,3,5,3,4,3,4,4,4,4,4,4,5,1,1,1,3,5,4,9,8,8,3,12,4,10,1,3,4,4,5,3,3,5,4,7,5,5,4,4,4,5,4,4,5,3,5
1,26,5,4,5,2,5,4,2,3,4,5,5,5,6,5,3,2,1,1,6,6,5,2,2,1,3,39,28,23,4,3,4,5,3,3,4,2,3,2,3,3,2,3,5,4,3,4,3,3,4
1,26,5,4,2,5,3,5,3,2,2,3,5,5,5,6,2,3,2,2,6,7,6,8,7,8,3,21,25,30,3,4,6,6,6,4,5,5,6,7,5,6,5,5,6,4,5,2,6,7,6
1,26,7,5,2,4,3,6,5,6,4,6,2,4,3,3,6,8,6,8,7,5,2,9,6,8,4,84,66,78,6,4,6,3,5,5,4,6,5,6,4,6,5,7,6,4,5,7,4,6,5
1,26,6,3,4,2,3,5,6,7,3,5,3,4,1,2,5,7,6,9,8,9,5,7,7,6,4,40,31,60,5,4,6,7,6,5,4,4,3,5,4,3,5,6,5,7,6,4,6,5,5
1,26,7,1,2,1,1,1,2,1,6,1,1,2,3,1,1,1,2,2,9,9,9,7,5,7,4,24,15,53,4,1,6,5,1,5,2,1,6,7,2,1,6,1,6,7,1,5,6,3,6
1,26,6,4,5,5,2,4,6,4,3,6,3,5,3,5,4,7,4,6,7,8,3,6,4,8,4,56,37,37,4,3,5,6,6,6,5,6,7,6,5,6,5,5,5,6,6,3,6,5,6
1,26,4,2,5,5,4,3,2,5,4,3,5,3,4,5,6,5,3,7,5,2,2,6,7,5,4,39,21,55,5,3,4,5,2,4,5,5,3,5,2,4,3,4,4,3,5,4,2,4,3
1,26,7,5,2,4,2,5,4,7,5,6,2,4,1,3,6,6,9,8,5,8,3,7,5,8,4,89,77,96,5,7,5,7,6,7,4,7,6,4,7,6,6,5,7,6,7,5,7,6,5
1,26,5,7,2,7,4,7,4,7,5,7,3,1,4,1,6, , , , , , , , , ,4,80,71,98,6,7,4,7,6,4,5,6,4,5,6,7,5,5,7,6,7,5,7,6,4
1,26,4,5,4,5,2,3,5,4,4,3,5,3,3,4,3,4,5,4,5,4,7,4,5,4,4,15,2,3,3,6,5,4,3,4,3,6,4,3,3,4,5,4,3,5,4,3,2,5,3
1,26,5,2,1,3,4,2,3,4,1,3,5,7,7,6,1,2,2,2,9,8,1,5,9,8,4,13,9,29,2,3,1,2,3,1,1,2,1,2,1,2,2,1,3,1,2,1,1,7,1
1,26,6,5,1,6,2,6,5,6,4,6,2,3,2,4,6,8,6,7,9,8,2,9,5,7,4,84,71,95,6,7,4,7,6,7,5,7,6,7,4,7,6,7,4,7,6,5,4,6,5
1,26,6,5,3,4,4,5,3,4,5,5,6,5,4,5,4,2,2,1,2,2,3,6,5,4,4,29,17,16,5,4,2,5,3,2,2,1,2,2,3,3,2,3,5,4,2,2,3,2,2
1,26,6,5,2,2,2,7,6,4,1,1,6,7,7,6,1,2,3,1,1,2,9,1,1,2,5,24,21,11,2,1,2,5,6,2,5,6,4,2,3,2,1,2,2,1,1,1,2,1,1
1,26,6,3,4,1,5,2,1,3,3,2,6,5,5,7,4,7,7,4,3,8,3,7,9,6,5,31,7,12,4,6,6,4,5,6,6,6,3,5,6,5,5,5,5,3,4,7,5,5,5
1,26,5,6,2,5,2,5,6,7,6,5,3,2,4,2,5,7,6,7,7,8,4,7,6,7,4,66,65,64,6,6,5,6,5,6,6,6,5,6,5,4,5,6,6,5,6,5,6,5,6
1,26,6,7,2,7,2,6,7,6,7,6,2,1,2,1,6,7,8,9,7,8,5,7,8,9,5,69,82,92,6,7,6,7,7,6,7,6,7,6,7,6,7,6,6,7,6,5,6,7,6
1,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,26,7,2,1,6,2,2,5,2,7,2,2,6,3,1,5,2,2,1,1,2,1,2,3,2,3,4,0,0,2,6,6,7,2,3,6,1,6,7,5,6,7,4,5,5,3,2,2,7,2
1,26,2,2,6,3,7,1,1,2,1,1,7,6,7,7,1,1,1,1,2,3,8,6,4,5,3,27,59,40,1,1,2,1,2,1,1,1,2,1,1,2,2,1,1,2,1,2,1,2,1
1,26,5,3,5,4,3,4,4,5,4,4,4,4,4,4,5,2,2,2,6,6,5,7,6,6,3,19,12,13,4,2,6,6,2,5,4,2,5,6,1,6,3,3,6,5,3,6,4,3,6
1,26,5,4,5,3,5,2,1,4,2,3,2,4,6,3,3,2,3,5,7,6,7,2,2,3,3,16,8,3,6,3,6,5,4,5,5,2,5,4,3,5,6,5,5,6,6,4,3,6,7
1,26,7,4,7,3,3,2,7,4,5,3,7,4,6,4,4,1,1,1,9,5,5,8,2,2,3,5,0,10,3,4,7,5,3,5,4,2,4,5,4,6,5,3,5,3,1,6,3,3,5
1,26,1,1,1,1,7,1,1,1,1,1,7,7,1,3,1,1,1,1,1,1,1,1,1,1,4,49,7,6,3,1,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,26,7,1,4,4,1,1,4,1,7,1,4,1,1,1,1,4,3,3,9,9,9,5,5,5,4,25,0,0,5,1,6,5,1,4,4,1,1,4,3,5,4,1,4,4,7,5,4,1,2
1,26,6,4,4,7,3,6,5,6,6,4,4,3,4,2,6,5,7,4,4,5,5,4,4,6,4,15,55,34,2,5,4,3,4,4,5,4,3,4,5,4,4,5,4,3,4,4,4,5,5
1,26,7,1,7,7,1,1,7,1,1,1,7,1,7,1,1,2,3,3,9,9,9,5,5,5,5,50,50,50,4,4,7,7,1,4,4,1,7,7,1,7,7,4,7,4,7,7,7,7,7
1,26,6,2,2,4,4,2,3,3,4,3,4,5,3,3,5,5,5,3,9,9,7,8,5,7,4,22,16,24,5,3,6,7,1,1,3,1,5,5,2,6,2,2,5,3,7,5,3,1,5
1,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,26,4,5,5,5,6,2,4,3,3,5,6,4,3,5,3,2,1,1,5,4,4,4,5,4,4, , , ,2,3,6,5,3,5,4,3,4,5,3,2,3,4,3,4,2,4,3,5,4
2,26,7,2,6,7,2,2,7,2,7,1,7,2,6,2,7,2,6,5,9,9,9,2,2,2,4, , , ,4,7,7,4,1,7,4,1,7,4,7,7,4,1,7,4,7,7,4,1,7
2,26,7,2,2,2,3,1,3,1,3,1,3,1,2,2,2,2,1,1,4,1,1,2,3,2,4, , , ,6,4,5,1,7,4,4,4,5,1,3,4,1,3,3,2,2,3,1,1,5
2,26,7,2,5,4,5,6,5,4,2,4,2,2,5,6,2,2,1,1,5,1,1,1,1,1,2,45,28,48,1,1,7,1,1,7,1,1,7,1,7,7,1,7,7,1,7,7,1,1,7
2,26,7,3,7,7,6,2,7,5,1,2,7,7,6,6,4,2,2,1,9,1,8,9,5,1,4,65, ,42,4,4,3,7,1,3,1,1,4,7,1,7,7,7,7,3,7,3,5,1,7
2,26,7,7,2,6,2,5,4,7,4,4,4,4,3,3,5,1,1,1,5,1,1,2,3,1,4,90,70,72,5,7,7,7,7,7,7,7,7,7,7,7,6,6,5,6,7,6,6,7,6
2,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,26,6,7,2,4,2,6,7,6,4,7,4,5,6,3,6,7,8,9,9,8,5,9,4,8,4,88,77,66,7,5,4,6,7,6,7,6,7,6,4,6,7,6,6,7,6,7,6,7,6
2,26,1,1,1,1,1,7,7,1,7,7,1,1,7,1,7,6,9,1,1,9,9,2,9,9,4,87,68,93,7,1,7,7,7,1,7,1,1,1,7,1,2,7,1,7,7,1,1,7,7
2,26,5,3,4,4,4,1,4,4,4,5,2,3,4,3,4,1,1,1,3,2,3,7,1,1,3,29,19,14,3,3,6,6,7,6,3,2,4,4,4,4,6,6,4,4,5,3,6,5,4
2,26,7,3,6,6,6,1,5,2,5,2,7,7,6,4,4,2,1,1,1,3,6,5,1,5,2,5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,26,6,3,5,3,2,2,2,2,2,2,2,3,6,2,2,1,1,1,7,7,7,8,8,8,2,3,0,0,1,4,6,2,1,1,6,1,5,3,7,5,2,2,6,1,6,6,2,6,6
2,26,7,3,1,7,6,2,7,1,4,2,7,4,6,4,6,2,3,2,7,8,8,5,5,6,3,31,20,20,5,5,7,6,4,7,5,2,7,5,3,6,5,2,7,5,7,7,5,4,7
2,26,5,2,5,3,3,4,3,3,1,2,4,3,3,3,2,1,1,2,7,4,5,7,5,3,3,30,0,10,7,7,7,7,5,6,7,2,3,7,5,5,7,3,3,7,7,7,7,6,7
2,26,5,4,4,4,4,4,3,3,3,4,4,4,4,4,4,2,3,3,5,5,6,4,4,4,3,7,9,10,4,4,5,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,6
2,26,7,2,6,6,3,1,6,3,1,1,3,2,4,4,2,2,1,1,1,1,1,1,1,1,3,18,0,0,7,7,7,7,6,6,7,7,4,5,7,7,4,7,7,4,7,7,5,7,5
2,26,7,2,6,7,2,1,7,1,5,1,7,2,7,1,5,1,1,3,9,3,6,2,3,5,4,31,20,0,2,1,5,7,1,6,4,1,3,4,2,6,4,2,7,7,5,4,3,1,7
2,26,5,6,2,7,6,3,1,5,7,3,2,6,5,3,5,2,4,4,9,9,9,3,3,2,4,27,11,16,5,6,7,6,4,6,5,3,5,5,7,7,5,3,6,4,7,7,5,6,7
2,26,7,1,7,2,1,1,4,1,1,1,3,1,1,1,2,2,1,2,1,1,1,2,2,1,4,11,4,0,2,1,4,7,2,5,6,2,1,5,1,4,7,1,3,5,2,4,7,2,6
2,26,6,4,3,7,4,2,5,4,6,2,5,4,6,4,6,2,1,1,5,1,1,1,1,1,4,22,7,16,1,5,7,2,1,7,1,3,7,2,7,4,1,7,6,1,7,6,1,1,7
2,26,6,4,3,4,3,6,4,1,2,2,5,5,4,3,2,2,5,7,7,3,3,2,2,3,4,17, ,16,7,5,3,7,1,4,4,1,5,7,5,3,5,5,6,6,7,5,7,1,2
2,26,7,1,6,2,1,1,2,1,1,1,1,7,2,1,1,3,2,6,9,9,9,8,8,8,5,29,36,28,5,4,7,7,1,5,5,1,6,7,6,6,7,4,7,6,7,7,7,1,7
2,26,7,4,7,7,4,1,7,4,1,4,7,7,7,4,4,2,1,1,1,1,1,1,1,1,5,22,4,11,7,7,7,7,1,1,7,7,7,7,1,7,7,7,7,7,7,7,7,1,7
2,26,7,1,2,4,1,1,7,1,2,1,6,1,4,1,5, , , , , , , , , ,5,25,14,2,2,1,6,4,1,3,6,1,4,6,3,4,3,2,5,4,5,2,4,1,5
2,26,7,1,7,7,1,1,7,1,7,1,7,1,7,1,7,2,1,1,1,1,1,1,1,1,5,18,13,10,1,7,7,1,7,7,1,7,7,1,7,7,1,7,7,1,7,7,1,7,7
2,26,6,1,3,2,4,1,6,5,2,3,7,7,6,2,6,2,1,4,9,7,7,1,1,1,4,80,68,78,5,6,7,3,2,7,2,1,7,2,5,7,3,4,6,2,6,7,2,3,7
2,26,6,6,6,5,2,6,3,6,2,5,2,6,6,5,2,2,3,7,8,8,8,8,3,2,1,50,10,10,1,2,5,5,1,3,4,1,3,7,7,6,6,1,2,4,7,6,7,1,5
2,26,6,3,7,7,7,2,6,2,1,1,3,7,7,5,1,2,1,1,1,1,1,1,1,1,3,14,0,0,7,7,7,7,7,7,4,7,5,5,7,4,4,7,7,4,7,7,7,7,6
2,26,3,3,5,4,5,3,4,4,3,4,4,5,4,4,4,2,3,4,7,6,4,2,2,2,4,20,10,10,5,4,5,5,5,4,5,4,4,5,5,4,5,4,4,4,5,4,4,5,5
2,26,7,4,3,6,6,1,4,1,1,1,7,7,4,6,2,2,2,2,5,1,1,1,1,1,3,19,0,0,7,4,7,7,1,3,5,4,4,7,7,7,7,3,5,7,7,7,7,3,4
2,26,6,4,3,6,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,1,5,2,2,2,2,25,0,0,6,6,5,6,5,6,5,4,5,5,4,4,5,6,5,5,5,6,5,4,5
2,26,6,6,6,3,6,6,4,6,1,5,4,6,4,6,2,2,1,1,1,1,1,3,3,3,3,33,0,0,7,7,7,7,2,6,6,2,7,7,5,6,7,3,5,2,7,5,7,7,7
2,26,5,2,3,2,4,5,4,5,2,5,5,6,6,4,3,2,1,1,5,5,5,5,5,5,3,47,47,48,5,5,4,5,5,3,4,4,4,4,5,4,5,4,4,3,3,4,5,4,4
2,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,26,5,4,6,6,5,5,4,5,3,4,3,5,5,5,3,2,9,9,8,8,9,3,3,3,3,50,30,20,7,1,7,7,1,1,1,1,4,7,1,7,6,1,7,7,3,7,7,1,4
2,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,26,6,6,6,6,7,6,6,6,3,4,6,6,7,7,7,2,3,3,6,2,5,3,3,2,2,65,12,48,3,5,5,6,2,4,3,2,3,5,4,7,6,4,4,3,7,5,5,2,5
1,25,7,6,6,7,5,3,3,4,3,5,4,6,3,3,2,2,1,1,7,7,6,8,1,6,2, , , ,6,4,2,7,3,3,3,1,4,3,1,5,2,2,3,7,1,6,4,1,5
1,25,5,4,2,3,4,3,3,4,6,4,4,5,3,4,5,6,4,2,7,6,8,6,5,3,5, , , ,5,6,4,5,5,4,6,5,5,4,5,4,5,5,4,5,4,6,5,5,4
1,25,5,4,2,5,2,6,5,6,6,5,3,2,3,1,6,3,4,2,1,9,9,9,9,9,4, , , ,4,7,7,1,1,1,7,1,7,4,4,4,7,4,4,4,3,5,4,6,7
1,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,25,7,4,2,3,3,4,4,4,4,4,4,4,4,4,4,1,1,1,1,2,5,5,5,5,1,39,1,3,7,1,7,7,1,1,1,1,3,3,2,2,5,2,6,6,2,7,7,4,6
1,25,7,3,3,1,3,1,1,5,1,1,5,5,5,5,4,2,1,1,7,7,5,7,7,7,1,0,0,0,7,2,6,7,2,4,2,1,5,4,1,5,4,1,7,7,2,5,5,4,7
1,25,6,3,2,5,4,5,3,5,3,5,3,4,2,3,4,6,5,7,6,4,4,7,7,3,3,71,55,57,5,4,6,5,4,6,5,5,3,4,6,5,4,5,4,3,6,5,4,5,4
1,25,1,2,3,4,3,3,6,4,4,4,2,4,5,3,3,1,1,1,2,2,9,1,2,1,3,41,50,45,5,4,4,3,2,2,3,1,1,2,2,4,3,4,4,3,4,4,3,1,2
1,25,6,5,6,3,1,6,6,7,7,7,2,2,1,1,7, , , , , , , , , ,3,40,10,5,7,4,5,1,4,5,2,5,3,6,4,4,5,3,5,7,3,1,4,2,5
1,25,5,3,1,4,3,6,4,5,5,3,3,5,3,3,7,7,5,6,6,4,2,6,4,7,3,74,59,78,6,4,6,5,6,5,4,5,4,3,6,5,6,4,5,4,6,4,5,5,4
1,25,6,5,3,5,2,6,5,5,4,5,3,4,3,2,6,2,2,2,1,5,3,3,5,5,3,64,52,68,6,5,6,5,4,5,6,1,6,4,1,4,5,4,7,4,2,6,3,1,1
1,25,3,4,3,6,1,5,5,6,4,5,4,3,4,3,4,4,5,6,5,6,5,6,6,6,4,20,15,13,3,5,6,5,4,4,5,2,3,5,4,5,4,5,4,5,4,5,5,6,6
1,25,5,4,3,3,3,5,3,4,3,6,3,5,4,2,4,6,5,7,7,5,6,7,5,7,4,72,64,74,5,4,5,6,5,7,5,5,4,3,5,6,5,5,4,5,6,4,5,6,3
1,25,6,5,4,5,3,4,5,4,6,5,4,5,2,3,5,6,5,6,6,5,4,6,5,7,4,30,27,8,6,5,5,6,5,4,4,6,5,6,4,6,4,4,6,4,6,4,5,3,5
1,25,5,4,3,5,4,4,6,5,5,4,4,2,4,4,5,6,4,8,6,4,5,6,4,6,4,42,54,84,4,5,4,3,4,5,4,5,4,5,4,4,3,5,4,5,4,4,4,5,4
1,25,7,6,3,6,1,7,6,5,6,7,1,2,2,1,6,9,7,8,9,8,3,9,8,7,4,66,75,81,7,5,6,6,7,6,6,7,6,5,6,7,6,5,7,6,5,6,7,6,5
1,25,4,5,5,4,5,4,3,5,4,3,3,4,5,4,5,4,2,3,4,3,6,5,4,5,2,30,20,31,3,1,7,7,4,3,4,1,1,2,3,2,3,3,5,4,3,4,5,4,4
1,25,7,6,3,6,1,7,7,6,5,6,1,2,3,2,7,9,7,8,9,8,3,9,6,8,3,76,65,58,7,6,5,6,7,6,5,7,6,6,6,7,6,5,7,6,6,5,6,7,6
1,25,7,5,3,6,3,5,3,5,6,2,4,5,3,3,6,3,2,2,1,3,8,3,2,2,4,40,20,70,6,3,4,7,7,5,4,2,3,6,3,6,5,3,7,3,2,2,2,3,2
1,25,7,6,1,6,1,7,6,7,6,7,1,2,1,2,7,7,8,9,8,9,2,8,9,8,3,52,52,52,7,6,7,6,7,6,7,7,6,7,6,7,7,7,7,6,7,6,7,6,7
1,25,7,5,2,5,1,5,6,4,7,6,2,1,3,2,4,8,6,7,7,6,2,8,6,9,5,84,68,90,6,3,5,4,6,2,5,5,6,3,4,2,6,5,5,7,4,3,5,4,6
1,25,2,2,3,2,6,2,4,2,2,2,3,6,6,4,2,3,3,2,6,5,5,3,6,5,4,32,28,26,2,5,6,6,2,5,5,2,2,2,2,1,1,3,4,2,2,4,2,2,5
1,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,25,7,6,1,5,1,7,5,6,7,6,1,3,2,3,7,7,6,7,8,7,2,9,6,5,4,100,62,76,7,5,6,7,6,6,7,7,6,7,5,6,7,6,7,5,6,7,5,7,6
1,25,7,6,1,5,2,7,6,5,7,6,1,3,2,1,6,6,5,7,8,6,2,8,7,8,5,90,84,95,6,5,7,5,7,5,6,7,5,6,5,6,4,6,7,5,6,7,6,5,6
1,25,7,5,2,6,2,7,6,7,5,7,1,3,2,2,6,8,9,8,7,8,1,7,8,9,4,66,80,92,6,7,6,7,7,6,7,6,7,6,7,7,6,7,6,7,6,7,6,7,7
1,25,6,2,3,3,3,4,4,3,4,5,4,3,4,3,4,2,3,4,4,5,4,5,5,6,4,43,55,46,4,3,6,5,4,5,4,2,3,4,4,4,4,4,5,4,5,4,4,4,4
1,25,3,4,5,4,5,3,4,4,3,5,5,3,5,4,4,2,3,1,1,3,5,5,6,5,2,13,8,16,5,3,7,6,3,6,5,5,6,4,6,5,6,5,4,5,6,5,4,7,4
1,25,7,5,3,2,2,4,4,4,6,4,3,3,4,4,2,4,3,4,9,9,9,9,7,4,5,30,5,15,7,4,5,4,3,5,5,2,5,6,4,6,5,3,7,6,6,7,6,3,5
1,25,5,5,2,2,7,5,2,6,5,5,1,5,4,6,4,1,2,2,8,5,8,3,3,2,2,8,1,1,1,1,6,7,1,1,2,1,7,7,4,6,7,1,5,7,7,4,5,1,1
1,25,7,5,6,5,4,4,4,3,1,1,4,5,5,5,2,2,1,1,3,3,3,2,2,2,2,35,18,25,7,7,7,6,2,6,4,2,5,5,5,6,5,2,6,6,6,6,5,7,7
1,25,6,3,6,5,6,2,2,2,2,2,2,3,3,3,2,3,6,6,2,1,3,2,2,1,2,5,1,7,4,4,4,5,2,5,2,2,2,6,2,2,5,2,5,3,6,2,5,2,5
1,25,6,2,4,1,3,6,5,2,7,3,3,5,3,5,1,8,3,7,7,2,3,5,7,2,3,54,54,35,5,2,4,1,6,3,5,2,6,5,2,6,4,6,6,2,6,2,4,1,6
1,25,7,3,7,7,5,1,7,1,7,1,7,5,7,2,6,2,1,2,1,1,9,2,2,1,3,18,1,1,4,6,7,7,3,5,1,4,6,7,3,7,1,7,7,3,7,7,7,7,7
1,25,4,3,1,7,4,1,4,4,1,1,6,3,1,2,1,5,3,3,9,9,5,5,5,5,3,25,25,25,7,1,7,7,1,1,7,1,1,7,1,7,7,1,4,7,7,1,7,7,4
1,25,5,5,3,3,5,2,3,3,3,3,3,5,6,5,1,1,1,1,6,6,6,6,3,5,4,4,2,2,6,1,7,7,1,6,5,1,2,5,3,5,6,1,3,5,2,4,6,1,5
1,25,1,1,7,1,7,2,2,2,4,3,5,6,6,6,3,2,1,2,1,1,1,1,1,1,4,7,5,3,4,4,6,6,1,5,5,1,3,5,6,5,5,5,5,3,4,6,6,4,6
1,25,7,1,1,7,1,5,1,1,1,1,3,3,3,3,1,1,1,1,9,9,9,9,9,9,4,51,21,25,1,1,7,1,1,2,1,1,5,1,1,5,1,1,6,1,1,5,1,1,5
1,25,1,1,4,1,1,1,4,1,4,1,7,1,1,1,7,2,1,1,1,1,1,1,1,1,5,0,2,9,7,7,7,7,7,7,7,1,4,7,4,7,7,7,7,7,7,4,7,4,7
1,25,5,1,5,5,2,2,3,1,5,2,4,2,4,1,4,2,3,4,9,7,7,3,2,1,5,39,33,25,1,2,7,2,1,7,1,1,3,1,4,7,2,1,4,1,5,7,1,2,5
1,25,7,2,7,7,6,2,1,2,6,2,2,6,7,2,1,2,1,1,1,1,1,1,1,1,5,21,27,25,7,7,7,7,7,7,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1,25,7,1,4,4,1,1,4,1,4,1,7,1,5,1,7,2,1,1,1,1,1,1,1,1,5,1,1,1,4,7,4,7,1,4,7,1,4,7,1,4,4,7,4,4,7,4,7,7,7
1,25,5,3,4,4,3,4,2,4,5,3,3,5,4,3,2,6,4,5,6,4,4,7,4,6,5,45,22,52,6,4,3,4,5,3,5,6,3,4,5,5,3,5,6,4,5,3,4,5,5
1,25,7,4,2,7,6,3,3,3,4,3,7,7,7,5,4,1,1,1,7,7,8,4,4,3,2,16,0,0,4,1,7,7,1,5,5,1,2,7,7,7,7,3,6,6,7,7,7,4,7
1,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,25,6,2,5,6,6,1,3,1,1,1,3,7,2,2,2,2,2,1,3,2,6,4,5,3,4,30,7,19,4,2,5,7,1,4,6,1,3,6,5,3,7,6,4,5,5,3,6,4,7
1,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,25,2,6,3,3,2,3,4,6,7,5,5,5,6,2,5,6,4,6,6,3,4,6,6,2,4, , , ,4,4,6,3,7,5,6,6,5,2,2,7,6,5,5,4,2,6,3,6,3
2,25,5,4,1,7,3,1,1,2,1,1,1,2,1,2,1,2,2,1,9,1,1,2,1,9,5,31,17,17,7,6,7,7,1,5,7,1,6,7,4,1,7,7,5,7,7,6,7,3,6
